,ig_page,ig_post_date,ig_content,ig_like_cnt,ig_comment_cnt,ig_extract_date
0,aiahongkongmacau,2 months ago,"
                        【AIA x 何詩蓓  #AIA香港及澳門大使】為您超越 伴您突破 

喺2021年  #何詩蓓 奪得個人第一面奧運銀牌！並4度打破亞洲紀錄！
到底香港泳將何詩蓓係憑住咩信念，先能夠不斷超越，刷新紀錄？

講起游水……我哋可能會諗起訓練同比賽，但對詩蓓嚟講，游水仲係一種激勵大家一齊向前，突破自身界限嘅信念！

而AIA亦有相同嘅理念，除咗不斷推出領先業界嘅保險產品，我哋更為您健康超越保險，務求幫助大家實踐「健康長久好生活」之餘，亦陪伴大家突破自我，跨越每個挑戰！

 #AIA為您超越伴您突破  #AIAGoingBeyondWithYou
緊貼更多  #AIAx何詩蓓 嘅精彩故事 :  https://bit.ly/3Pjpo0Y

 #SiobhánHaughey @siobhanhaughey01   #AIAHongKongAndMacauAmbassador
 #AIA超越保險  #AIABeyondInsurance 
 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #AIAOneBillion 
                    ",278        ,3        ,20221003
1,aiahongkongmacau,2 days ago,"
                        【📢 投保AIA個人保險計劃，即有機會贏取 「AIA Presents Ivana x Serrini Fairy Nice To Meet You Live 2022」門票2張！🎫 🎫】 

由即日起至2022年10月31日期間，客戶成功投保AIA個人保險計劃*滿指定金額，就可自動獲享抽獎機會，有機會贏取「AIA Presents Ivana x Serrini Fairy Nice To Meet You Live 2022」指定日子音樂會HK$980門票2張，連同KKBOX 60天音樂服務（名額共200名） 。今次係Ivana同Serrini首次聯手合作🤝，為樂迷帶嚟一個耳目一新嘅音樂會，一齊入場睇兩位Fairies嘅crossover啦🎤！

得獎名單將於2022年11月11日喺 aia.com.hk、當日出版嘅星島日報同英文虎報內公佈。 

* 受條款及細則約束。詳情(包括AIA個人保險計劃之定義)請參閱：https://bit.ly/3BWWTAS

推廣生意的競賽牌照號碼：56141

註：人壽保險保單屬長期的保險合約，其設計及宗旨為保障人的壽命，通常涉及較長年期。客戶應根據自身的保障需要和保費負擔能力投保適合的保險產品。

 #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活  #王菀之  #IvanaWong  #Serrini  #音樂會  #抽獎 
                    ",239        ,0        ,20221003
2,aiahongkongmacau,2 days ago,"
                        【反應熱烈！優惠延長🎉】AIA超越賞 - 突破傳統保險  超越一般優惠

AIA不斷追求超越，超越傳統獎賞，畀您「折折上升」嘅折扣優惠 — AIA超越賞：

依家起至2022年11月15日，凡投保AIA全線產品，可享優惠，包括保費回贈高達75%！

以限時優惠嘅價錢獲得最佳健康保障，您又點可以錯過？立即聯絡您嘅財務策劃顧問瞭解更多啦！

 #AIA超越賞  #AIABeyondRewards  #AIA為您超越伴您突破  #AIAGoingBeyondWithYou  #AIA超越保險  #AIABeyondInsurance  #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活 

註：1.上述全線保險產品包括AIA全線個人及團體保險（個人財物保險、「競跑保」及資本投資者入境計劃除外）。2.優惠受相關條款及細則約束，詳情請瀏覽aia.com.hk。 
                    ",110        ,0        ,20221003
3,aiahongkongmacau,3 days ago,"
                        🥁 AIA 青年共創項目比賽「Cre8 by AIA」入圍名單出爐喇！🌟
「Cre8 by AIA」以合共 HK$150 萬嘅 Cre8 起動資金同全方位支援，幫年青人追尋夢想！

經過評審千挑萬選，  #五大組別 嘅入圍名單終於有結果喇！恭喜晒以下 10 位入選者～接住落嚟， 一眾  #星級導師  #Cre8大師  #游學修 @neoyau19  、多元唱作歌手  #軒公 @hinscheung  、心靈插畫品牌 @dustykid_hk  創作人陳塵 @rapchan  、@bakehousehk  麵包店🥐創辦人 @gregoiremichaud 、 @greenpricehk  社企聯合創辦人 @terence_hon  同 @9gag  聯合創辦人 Chris 會秉承住  #袋錢落你袋 嘅精神，將獨門創業秘笈傳授畀咁多位入選者，仲會為佢哋提供曝光機會，畀更加多人見到佢哋嘅諗法，再有機會贏走埋 HK$30 萬起動資金💰！

想知星級導師們點樣同佢哋手拖手踏上 Cre8 之旅？嚟緊就要密切留意 @cre8hk  嘅 Instagram 更新喇！

入圍名單
🎤表演創作：Ian（電影） @ianlui.lionrockfilmco  , Kinyi（唱作） @kinyi_sung 
🎨設計：Ellis（植物皮革手袋設計） @soulmatte.earth  , Minnie（時裝設計） @lamwingsum 
🍽️飲食：Nicky（調味牛油製作） @yelo.steakbutter  , Sarah（甜品烘焙） @22c.patisserie 
♻️環保：Declan（自動化塑膠分類技術） @plaper.hk  , Jorch（上門回收平台） @theloopshongkong 
💡創科：Wah（子宮頸癌檢測衛生巾） @la.rosee.hk  , Samuel（3D 器官掃瞄） @oao.hk 

再次衷心感謝每一位 Cre8 by AIA 參加者！無論有冇入圍，呢度都唔會係你創業嘅終點！請記住你哋嘅初衷同熱誠，唔好放棄你嘅 Cre8 之旅！ #點解要點解？想 Cre8，本身就係冇原因㗎！

 #Cre8byAIA  #你有諗法我有辦法  #AIAHongKong  #HealthierLongerBetterLives  #健康長久好生活

Cre8 by AIA 受條款及細則約束，詳情請瀏覽 cre8.com.hk 。 
                    ",52        ,1        ,20221003
4,aiahongkongmacau,6 days ago,"
                        超越的意義。

感謝 @aiahongkongmacau  的邀請，
以 #何詩蓓小姐 @siobhanhaughey01  於游泳上所展現的精神 —— 「超越」為概念，繪畫插圖。

一直認為，關於「超越」，
往內是一種自我突破和探求，
向外則是一種能力的印證和說服。

可除此以外，於我而言，
超越的意義，更重要的是其「背後」的蘊藏：
那些不為人知的自我質疑和迷失；
那些視力竭為開始的鍛練；
那些以年計的忍耐和自我勸服；
那些無數心裡有過的黑夜，
和不一定能上演的白晝。

亦因如此，所謂超越，
不僅是賽道上時分秒的刷新；
亦不僅是競技項目裡碰觸到的勝利；
更可以是每一次你浴火重新後的自己，
每一次你涉歷未知，
那份依然冒險追尋的勇氣。

-

有關超越，不止於我，他們演繹更多：
@a_r_y_u.c  | @isaac.spellman  | @kazy_chan  | @nopaperstudio  | @surrealhk  | @tsesaipei  | @vvvvnho  

 #AIAx何詩蓓  #AIA為您超越伴您突破  #AIAGoingBeyondWithYou  #AIA超越保險  #AIABeyondInsurance  #健康長久好生活  #HealthierLongerBetterLives 
                    ",244        ,0        ,20221003
5,aiahongkongmacau,6 days ago,"
                        【為您超越 伴您突破】
記得小時候填紀念冊時，在填「我的志願」那一項真的是雄心壯志！人漸漸長大，遇到的絆腳石也不少，但我始終相信，肯繼續堅持尋夢，就一定有人陪你一起傻，一起癲。只要有像何詩蓓那種超越極限的精神，我們都可以實現夢想，超越現在的自己！
-
今次與 @aiahongkongmacau  和  #何詩蓓 @siobhanhaughey01  聯同一眾插畫師跟大家一起超越突破，當中有：
@isaac.spellman  | @kazy_chan  | @laily.art  | @nopaperstudio  | @surrealhk  | @tsesaipei  | @vvvvnho  
一定要看看他們的作品啊！
-
 #AIAx何詩蓓  #AIAxSiobhánHaughey   #AIAGoingBeyondWithYou  #AIA為您超越伴您突破  #AIA超越保險  #AIABeyondInsurance  #健康長久好生活  #HealthierLongerBetterLives
 #香港插畫  #插畫  #绘画  #漫画  #香港  #aryu  #hongkongillustration  #hongkongillustrator  #illustration  #drawing  #art  #design  #comic  #anime  #hongkong 
                    ",289        ,1        ,20221003
6,aiahongkongmacau,6 days ago,"
                        【何詩蓓為您超越 伴您突破】

喺城市生活得太耐，有時都會想突破下原有嘅生活模式，出走去唔同嘅世界！🧗🏻
Inspired by  #何詩蓓 @siobhanhaughey01  嘅  #超越精神 🏊🏻‍♀️🏊🏻‍♀️ 我最響往，突破想去嘅地方一定係充滿綠色植物嘅森林！🌳🌳 因為平日畫就畫好多，如果有機會親身去到，感受下被樹木包圍嘅感覺就好！🌲🌲
 
諗緊點樣突破自己？不如先去 @aiahongkongmacau  睇吓  #AIAx何詩蓓 同其他artist嘅超越故事啦！
 
@a_r_y_u.c  | @isaac.spellman  | @laily.art  | @nopaperstudio  | @surrealhk  | @tsesaipei  | @vvvvnho 

 #AIAxSiobhánHaughey  #AIAGoingBeyondWithYou  #AIA為您超越伴您突破
 #AIA超越保險  #AIABeyondInsurance  #健康長久好生活  #HealthierLongerBetterLives 
                    ",488        ,0        ,20221003
7,aiahongkongmacau,6 days ago,"
                        我喜歡以想像突破生活界限，喺天空自由自在，遠離地面嘅繁忙同壓迫感。
一齊以  #何詩蓓嘅超越精神，從心態開始，突破生活啦！

Refresh your mind 🌟 即刻去 @aiahongkongmacau  睇  #AIAx何詩蓓 @siobhanhaughey01  同其他Artist嘅超越故事啦！
@a_r_y_u.c  | @isaac.spellman  | @kazy_chan  | @laily.art  | @nopaperstudio  | @tsesaipei  | @vvvvnho 

 #AIAxSiobhánHaughey  #AIAGoingBeyondWithYou  #AIA為您超越伴您突破
 #AIA超越保險  #AIABeyondInsurance  #健康長久好生活  #HealthierLongerBetterLives 
                    ",1k        ,6        ,20221003
8,aiahongkongmacau,6 days ago,"
                        【何詩蓓 為您超越 伴您突破】
傳統唔代表一定會被淘汰，突破框框，融入現代嘅創作中，就係另一種美
只要好似 #何詩蓓@siobhanhaugheyo1 咁有 #超越精神 ，我哋就可以創造出更多可能！
即刻去 @aiahongkongmacau  睇吓  #AIAx 何詩蓓嘅超越心聲 •記得睇埋其他 Artist 嘅超
越故事呀！
@a_r_y_u.c  | @isaac.spellman  | @kazy_chan  | @laily.art  | @nopaperstudio  | @surrealhk  I
@tsesaipei 
 #AlAxSiobhánHaughey  #AIAGoingBeyondWithYou  #AIA為您超越伴您突破
 #AIA超越保險 #AlABeyondinsurance  #健康長久好生活  #HealthierLongerBetterlives 
                    ",477        ,1        ,20221003
9,aiahongkongmacau,6 days ago,"
                        【何詩蓓為您超越伴您突破】

當我沉浸在水中的時候，我是自在的，我的思想任由它鬆綁，放飛想像。在深海中與鯨魚，海豚，飛魚，海龜暢泳並不是天方夜譚。只要像 #何詩蓓 @siobhanhaughey01  一樣有 #突破精神，我們就可以創造出屬於自己的可能，天馬行空不是夢！你也想突破自身界限？馬上到 @aiahongkongmacau  觀看 #AIAx何詩蓓和其他Artist的超越故事，陪你一起邁步向前！

@a_r_y_u.c  | @kazy_chan | @laily.art  | @nopaperstudio  | @surrealhk  | @tsesaipei  |@vvvvnho  #AIAxSiobhánHaughey #AIAGoingBeyondWithYou #AIA為您超越伴您突破 #AIA超越保險 #AIABeyondInsurance  #健康長久好生活 #healthierlongerbetterlives 
                    ",189        ,3        ,20221003
10,aiahongkongmacau,6 days ago,"
                        今日放映【為您超越伴您突破】
領銜主演 -  #何詩蓓 @siobhanhaughey01  
只要有何詩蓓嘅突破精神，Keep住試，就會有意想不到嘅結果!

當初我係畫人像為主，文字設計同排版都唔係自己嘅擅長，不過我知道一定要突破昨日嘅自己先至可以繼續前進，於是強行翻譯，畫電影標題，加入搞笑彩蛋！全部都係試出嚟...試吓試吓就演變左呢種懷舊海報風格。

傳統，都可以係另一種創新。只要好似何詩蓓咁有 #超越精神，我哋就可以創造出更多可能!
即刻去 @aiahongkongmacau  睇吓  #AIAx何詩蓓 嘅超越故事，仲可以睇埋其他Artist嘅故事，陪你一齊突破自己!

@a_r_y_u.c  | @isaac.spellman  | @kazy_chan  | @laily.art  | @surrealhk  | @tsesaipei  |@vvvvnho 
 #AIAxSiobhánHaughey  #AIAGoingBeyondWithYou  #AIA為您超越伴您突破  #AIA超越保險  #AIABeyondInsurance  #健康長久好生活  #HealthierLongerBetterLives  #無紙用工作室  #nopaperstudio  #懷舊電影海報  #vintage  #illustration  #插畫  #電繪 
                    ",586        ,2        ,20221003
11,aiahongkongmacau,6 days ago,"
                        創作嘅路真係唔容易行......好彩生活每件唔起眼嘅小事，喺我眼中都係靈感嘅來源；有時主動一啲、行近一啲、八卦一啲，周圍去接觸觀察，發現好多故事都可以拎黎轉化同埋創作！
 #何詩蓓 嘅突破精神好啟發到我，無論喺咩環境都一樣可以體驗同投入屬於自己嘅故事，即使係每日少少既進步，都係超越自己既一大步。想睇  #aiax何詩蓓 @siobhanhaughey01  嘅超越心聲？即刻去 @aiahongkongmacau  睇片啦！

仲可以睇埋其他artist嘅超越故事呀: @a_r_y_u.c  | @isaac.spellman  | @kazy_chan  | @laily.art  | @nopaperstudio  | @surrealhk  | @vvvvnho  

 #aiaxsiobhánhaughey  #aiagoingbeyondwithyou  #aia為您超越伴您突破  #aia超越保險  #aiabeyondinsurance  #健康長久好生活  #healthierlongerbetterlives 
                    ",714        ,4        ,20221003
0,fwd_hk,3 days ago,"
                        【日本旅人大集結🇯🇵！】
日本即將放寬入境措施同香港公布0＋3隔離政策✈，嚟緊唔洗靠Omakase回味築地市場🍣，唔洗左等右等代購嘅原宿潮牌🛍，更加唔洗聽到噹噹噹就當喺心齋橋行夜街🎵，而係終於可以親身「返鄉下」🎌！你又最掛住日本嘅乜嘢體驗呢？

不過喺摷閃令令書同book機票之前，不如swipe向右，跟住我哋嘅Check list睇吓有咩外遊注意事項喇✨～

溫馨提示：出發前購買旅遊保險可以留意範圍有冇包括2019冠狀病毒病類別嘅保障，旅程就更加安心享受！👉 https://bit.ly/3T25glR

 #FWD  #富衛  #敢至係人生  #FWD網上保險平台  #旅遊保險  #TravelCare  #日本開關  #旅行  #清假

以上內容由富衛金融有限公司（「富衛金融」）贊助刊登/提供，富衛金融為富衛保險有限公司（「富衛保險」）委任的保險代理商。 
                    ",11        ,1        ,20221003
1,fwd_hk,5 days ago,"
                        【 實力贏家，多料Winner！🏆】
富衛唔只喺「彭博商業周刊金融機構大獎」*中榮獲14個獎項，連續第5️⃣ 年成為得獎最多嘅保險公司🎉！亦喺有業界奧斯卡之稱嘅「香港保險業大獎」*中刷新紀錄勇奪9個極具份量奬項，嘉許富衛以數碼化、創新及卓越服務全面提升客戶體驗，當中包括7項年度大獎及2項年度3強，成為囊括得最多獎項嘅保險公司🥇，呢啲極具份量嘅業界獎項係對我哋團隊不懈努力同多方面傑出成就嘅重大肯定😍！
 
除此之外，富衛仲榮獲《2021畢馬威香港顧客卓越體驗調查》中「保險產品與服務 性價比全港第一」👑！新業務嘅首年保費，仲進佔咗全港三甲^！感謝大家嘅支持，我哋承諾會繼續實踐「創造保險新體驗」嘅願景，透過積極研發創新產品，利用科技提升服務效率及便捷度，為大眾帶來更富趣味性嘅互動💪🏻！

立即了解更多：https://bit.ly/3C85j9Q

 #FWD  #富衛  #敢至係人生  #性價比全港No1  #新業務首年保費全港頭3位  #活超所值  #最大贏家  #多料Winner

*來源：彭博商業周刊金融機構大獎2022」以及「香港保險業大獎2021」。
^來源：保險業監管局2021年1至12月香港長期保險業務的臨時統計數字，個人及團體保險業務合併計算。 
                    ",29        ,1        ,20221003
2,fwd_hk,1 week ago,"
                        【安排更妥善，實現子女更多可能！】
富衛嘅盈聚優裕壽險計劃，於「彭博商業周刊金融機構大獎2022」中榮獲教育基金類別嘅卓越大獎！計劃提供中長線財富增長潛力及保證現金價值，為你子女嘅未來提供更多嘅選擇！

無論係去外國升學、創業定係成家立室，盈聚優裕壽險計劃都幫你一步步，輕鬆儲出子女未來康莊大道。立即為子女建立教育基金，累積潛在回報，靈活實現子女不同人生計劃啦！

即上 https://bit.ly/3xKgT8y 知多啲！ 

 #FWD  #富衛  #敢至係人生  #盈聚優裕  #靈活啲儲多啲  #儲蓄隨意門 

上述產品由富衛人壽保險（百慕達）有限公司（於百慕達註冊成立之有限責任公司) (“富衛”)承保。 

上述產品資料不包括保單的完整條款及受相關計劃之條款及細則約束，有關上述產品特點、保障權益及完整之條款、不保事項及主要產品風險詳情，請參閱富衛網站、相關產品小冊子及保單條款。 
                    ",7        ,0        ,20221003
3,fwd_hk,1 week ago,"
                        【保得更盡🛡️，活得更順😍】 
富衛自推出首個自願醫保計劃以嚟，一直貫徹「保足啲 全面啲」嘅理念，以提供彈性及全面嘅健康保障為目標，滿足不同客戶嘅需求，成為業界No.1¹ 🥇。好似「尊衛您醫療計劃」咁，計劃提供100%全數保障²一系列住院及手術費用，不分賠償細項，讓你盡情享受生活，難怪贏得香港保險業大獎2021嘅「傑出創意產品/服務大獎 – 自願醫保計劃」殊榮！ 

除此之外，富衛仲榮獲《2021畢馬威香港顧客卓越體驗調查》中「保險產品與服務 性價比全港第一」👑！新業務嘅首年保費，仲進佔咗全港三甲^！能備受業界同客戶認同，對我哋持續努力創新同提升客戶體驗有重要嘅鼓舞作用，富衛將繼續積極開拓嶄新產品回應市場需要，成就大眾活超所值，敢至係人生🎉！ 

立即了解更多👉🏻https://bit.ly/3S3dzgT

 #FWD  #富衛  #敢至係人生  #CelebrateLiving  #保足啲全面啲  #性價比全港No1  #新業務首年保費全港頭3位  #活超所值 
 
上述產品資料不包括保單的完整條款及受相關計劃之條款及細則約束，有關上述產品特點、保障權益及完整之條款、不保事項及主要產品風險詳情，請參閱富衛網站、相關產品小冊子及保單條款。 
 
¹富衛自願醫保系列的「易衛您醫療計劃」（「易衛您」）和「尊衛您醫療計劃」（「尊衛您」）在「香港保險業大獎2021」的「傑出創意產品/服務大獎 — 自願醫保計劃」獲得年度最高殊榮之年度大奬。 富衛自願醫保系列在「彭博商業周刊金融機構大獎2021」的「自願醫保計劃 」獲得年度最高殊榮之卓越大獎。「尊衛您」及「易衛您」為政府自願醫保計劃的認可靈活計劃（認可產品編號分別為F00045及F00051）。上述產品由富衛人壽保險（百慕達）有限公司（於百慕達註冊成立之有限公司）（自願醫保的產品提供者註冊編號00036）（「富衛」）承保。 
²全數保障是指不設分項賠償限額，並為合資格費用及其他費用於扣除餘下的自付費（如有）後的實際金額，及受每年保障限額及終身保障限額所規限。全數保障只適用於指定保障項目，而其他保障項目並不獲全數保障及受限於相關項目的賠償限額。若於亞洲之外的地方進行任何非急症治療，所招致的合資格費用將會按標準計劃條款及保障所附的保障表所列的賠償限額作出賠償。 
 ^來源：保險業監管局2021年1至12月香港長期保險業務的臨時統計數字，個人及團體保險業務合併計算。 
                    ",16        ,0        ,20221003
4,fwd_hk,1 week ago,"
                        【作為女生必需擁有！你嘅Must have item係…？💖】
Keep住咁靚同健康係每個女仔嘅終生課題，後生嗰陣可能想身型靚，到大嗰啲又會追求自信美，告別虎背厚腰，無論你係三歲定八十歲都有唔同追求。但時間同金錢有限，想一次過K.O.所有願望，莫非只係天荒夜譚👉 👈？

No No No！而家有一樣嘢，就可以滿足你嘅願望！

就係一張富衛健康通行證💳！申請後就可以用低至 5 折價錢，無限次享用網絡內超過 1400 個指定保健及醫療服務，例如減肥營養計劃、中醫調理、物理治療、牙科及中西醫服務等，計劃仲可同埋家人用一齊用*，滿足晒女仕們想靚同健康嘅需要！

立即申請👉https://bit.ly/3MsBMuv

*全家指主會員及最多3名家庭成員，包括已婚伴侶、父母或18歲以下子女
 #FWD  #富衛  #敢至係人生  #富衛健康通行證  #FWDWellnessPass  #一家通用
富衛健康通行證是一個會員計劃，而不是保險產品。服務須受有關條款及細則約束，詳情請參閱此會員計劃之條款及細則（https://bit.ly/3wHvwZL ） 
                    ",13        ,1        ,20221003
5,fwd_hk,2 weeks ago,"
                        Posted @withrepost  • @moov_music  今晚！會展HALL 5BC大集合！🔥

大家準備好未先😆入場前記得睇睇入場須知～一齊Enjoy the show🫶🏻

🎧入場前記得聽熟熱身歌單：https://s.moov.hk/r?s=XvULyN 

 #MOOVLIVE  #MOOVLIVE2022  #FWD富衛保險呈獻MOOVLIVEDEARJANEXCALLSTAR  #FWD富衛保險  #FWD  #富衛  #敢至係人生  #FWDMAX  #DEARJANE  #CALLSTAR 
@fwd_hk @dearjaneofficial @c_allstar @dearjanehowie @dearjanejackal @dearjanenice @dearjanetim @callstarcf @on_callstar @king_c_allstar @jaseforreal @warnermusichk @mediaasiamusic
",59        ,0        ,20221003
6,fwd_hk,2 weeks ago,"
                        【第一，你值得！🏆】 
 富衛一直將客戶放喺No.1，相信每位客戶都值得更好、更全面嘅保障同服務！所以我哋一直以  #保足啲、  #全面啲 為目標，並成功被《2021畢馬威香港顧客卓越體驗調查》評選為「保險產品與服務 性價比全港第一」🎉 ！ 
 
全賴大家嘅支持，富衛保險喺2021年嘅新業務首年保費更係排全港頭3位*。我哋承諾會繼續努力，為你做好No.1💪🏻！ 

*來源：保險業監管局2021年1至12月香港長期保險業務的臨時統計數字，個人及團體保險業務合併計算。 

 #FWD  #富衛  #敢至係人生  #CelebrateLiving  #保足啲全面啲  #性價比全港No1  #新業務首年保費全港頭3位  #活超所值  #第一你值得 
                    ",20        ,0        ,20221003
7,fwd_hk,3 weeks ago,"
                        【限時 5 天】富衛健康通行證 中秋優惠登場 ! 🌕​
一年容易又中秋，人人都把握機會同家人朋友相聚團圓，為慶祝中秋節嘅來臨，我哋送上一連 5日嘅中秋優惠！同大家一齊共慶中秋⭐！​

現使用優惠碼【MIDAUTUMN】申請富衛健康通行證(12個月計劃)可享高達75折優惠 ! 用足一年都只係HK$498 (原價HK$680)，五百蚊就有找！​

富衛健康通行證會員可用低至 5折價錢享受到超過1,400名醫療及保健夥伴提供嘅指定服務，一個價錢，一家*享受！​

立即申請👉 https://bit.ly/3BpeJxC

*全家指主會員及最多3名家庭成員，包括已婚伴侶、父母或18歲以下子女​

 #FWD  #富衛  #敢至係人生  #富衛健康通行證  #FWDWellnessPass  #一家通用​
​
富衛健康通行證是一個會員計劃，而不是保險產品。服務須受有關條款及細則約束，詳情請參閱此會員計劃之條款及細則(https://bit.ly/3wHvwZL) 
                    ",9        ,1        ,20221003
8,fwd_hk,3 weeks ago,"
                        【答問題贏 FWD x 奶茶通俗學™ @milktealogy  《What the Health》NFT！】
喺疫情嘅新常態，以往日常變得不再如常，人生步伐或多或少都要放慢暫停，但敢於接受挑戰嘅香港人又點會甘於停步！富衛伴你一齊  #PressPlay，今次聯乘奶茶通俗學™，推出充滿港式味道嘅《What the Health》NFT系列，鼓勵大家生活中要平衡身心健康，先可以繼續享受人生！如果你都想要呢個 Made in Hong Kong 嘅NFT，只要參加以下遊戲，跟足步驟同答一條簡單問題 。奶茶通俗學™會揀選答得最貼題又最具創意嘅十位參加者，送出《What the Health》NFT一個，齊齊 Celebrate Living之餘，仲可以憑其 NFT 進入FWD 元宇宙，享受獨家體驗同福利！

遊戲方法︰
1. 讚好FWD Hong Kong & Macau專頁及此帖文
2. 於本遊戲帖文留言欄 @Tag  兩位朋友並回答以下問題
「面對疫情打亂人生大計，你點樣去從新投入熱誠生活呢？ 」

截止日期：‪2022 年 9 月 16 日 23:59‬
結果公布日期：‪2022 年 9月 22 日‬或之前
活動條款及細則：https://bit.ly/3Rohvsp

 #FWD  #富衛  #WhattheHealth  #奶茶通俗學  #9GAG  #milktealogy  #NFT  #CelebrateLiving  #PressPlayWithFWD 
                    ",58        ,19        ,20221003
9,fwd_hk,4 weeks ago,"
                        【想一條龍Claim癌症治療費?】

 診斷患癌，手術治療到復康，受保癌症保障範圍內都有得Claim！擔心醫療開支保障唔夠?可以考慮買份癌症保，保障就更全面喇😉！由今日至9月5日，Online投保「揀易保癌症保障計劃 (經濟級別) 」輸入🔥優惠碼：ALL80🔥，即享首年保費2折優惠，折後低至每月$12* 💰！

一click投保👉🏻https://bit.ly/3B6WqNb

------------------------------

【揀易保癌症保障計劃 (經濟級別) 】
✅高達$150萬港元終身癌症保障限額 
✅保障不同階段的受保癌症，包括原位癌及惡性腫瘤
✅全數保障癌症診斷、監察檢查、手術、癌症治療費用
✅保證續保至100歲（下次生日年齡）
✅轉工期間無團體醫保時，可申請指定的臨時醫療保障，毋須額外費用 
✅結婚或子女出世，可以申請延長保費寬限期最多1年 

------------------------------
上述產品由富衛人壽保險（百慕達）有限公司（「富衛人壽」） 承保。上述產品資料不包括保單的完整條款及受相關計劃之條款及細則約束，有關上述產品特點、保障權益及完整之條款、不保事項及主要產品風險詳情，請參閱富衛網站、相關產品小冊子及保單條款。 

優惠受條款及細則約束 
 
*以實際年齡30歲非吸煙男性香港居民投保揀易保癌症保障計劃(經濟級別) 之折後月供保費計算之首年保費，保費均為四捨五入後最接近之數字。實際保費因人而異。 
 
以上所有金額均為港元。除非特別指明，所有年份均指保單年度。 
 
以上內容由富衛金融有限公司（「富衛金融」） 贊助刊登，富衛金融為富衛人壽委任的保險代理商。此廣告僅旨在香港使用，並不能詮釋為在香港境外出售、遊說購買或提供富衛人壽的保險產品。本推廣的銷售及申請程序必須在香港境內進行及完成手續。 
                    ",4        ,0        ,20221003
